Country,Mean years of schooling in 2020
Afghanistan,3.9
Albania,10
Algeria,7.9
Andorra,10.4
Angola,5.1
Antigua and Barbuda,9.2
Argentina,10.8
Armenia,11.2
Australia,12.6
Austria,12.5
Azerbaijan,10.5
Bahamas,11.3
Bahrain,9.4
Bangladesh,6.1
Barbados,10.5
Belarus,12.2
Belgium,12
Belize,9.8
Benin,3.8
Bhutan,4.1
Bolivia,8.9
Bosnia Herzegovina,9.7
Botswana,9.5
Brazil,7.9
Brunei Darussalam,9
Bulgaria,11.3
Burkina Faso,1.6
Burundi,3.3
Cambodia,5
Cameroon,6.2
Canada,13.3
Cabo Verde,6.2
Central African Republic,4.3
Chad,2.5
Chile,10.5
China,8.1
Colombia,8.4
Comoros,5
Congo Brazzaville,6.4
Democratic Republic of the Congo,6.7
Costa Rica,8.7
Côte d'Ivoire,5.2
Croatia,11.3
Cuba,11.7
Cyprus,12.1
Czech Republic,12.6
Denmark,12.6
Djibouti,4.1
Dominica,8
Dominican Republic,8
Ecuador,8.8
Egypt,7.3
El Salvador,6.8
Equatorial Guinea,5.8
Eritrea,3.9
Estonia,13
Eswatini,6.8
Ethiopia,2.9
Fiji,10.8
Finland,12.8
France,11.4
Gabon,8.6
Gambia,3.9
Georgia,13
Germany,14.2
Ghana,7.2
Greece,10.5
Grenada,8.9
Guatemala,6.5
Guinea,2.8
Guinea-Bissau,3.6
Guyana,8.4
Haiti,5.5
Honduras,6.5
Hungary,11.9
Iceland,12.7
India,6.4
Indonesia,8.1
Iran (Islamic Republic of),10.3
Iraq,7.2
Ireland,12.6
Israel,12.9
Italy,10.3
Jamaica,9.6
Japan,12.8
Jordan,10.4
Kazakhstan,11.8
Kenya,6.5
Kiribati,7.9
Kosovo,10.7
Kuwait,7.2
Kyrgyzstan,11
Lao People's Democratic Republic,5.2
Latvia,12.9
Lebanon,8.6
Lesotho,6.4
Liberia,4.8
Libya,7.5
Liechtenstein,12.4
Lithuania,13
Luxembourg,12.2
Madagascar,6
Malawi,4.7
Malaysia,10.4
Maldives,6.9
Mali,2.4
Mauritania,4.7
Mauritius,9.4
Mexico,8.7
Micronesia (Federated States of),7.7
Republic of Moldova,11.6
Mongolia,10.2
Montenegro,11.5
Morocco,5.5
Mozambique,3.5
Myanmar,5
Namibia,6.9
Nepal,5
Netherlands,12.4
New Zealand,12.7
Nicaragua,6.8
Niger,2.1
Nigeria,6.6
North Macedonia,9.7
Norway,12.9
Oman,9.6
Pakistan,5.1
Palestine,9.1
Panama,10.1
Papua New Guinea,4.7
Paraguay,8.4
Peru,9.6
Philippines,9.3
Poland,12.4
Portugal,9.2
Qatar,9.6
Romania,11
Russian Federation,12.1
Rwanda,4.4
Saint Kitts and Nevis,8.6
Saint Lucia,8.4
Saint Vincent and the Grenadines,8.7
Samoa,10.7
Sao Tome and Principe,6.3
Saudi Arabia,10.1
Senegal,3.2
Serbia,11.1
Sierra Leone,3.7
Singapore,11.6
Slovakia,12.6
Slovenia,12.6
Solomon Islands,5.6
Somalia,5.1
South Africa,10.1
Republic of Korea,12.2
South Sudan,4.8
Spain,10.2
Sri Lanka,10.5
Sudan,3.8
Suriname,9.2
Sweden,12.5
Switzerland,13.4
Syrian Arab Republic,
Tajikistan,10.6
United Republic of Tanzania,6
Thailand,7.8
Timor-Leste,4.8
Togo,5
Tonga,11.1
Trinidad and Tobago,10.9
Tunisia,7.1
Turkey,8
Turkmenistan,10.2
Uganda,6.1
Ukraine,11.3
United Arab Emirates,12
United Kingdom,13.2
United States of America,13.3
Uruguay,8.8
Uzbekistan,11.7
Vanuatu,7
Venezuela (Bolivarian Republic of),10.2
Viet Nam,8.2
Yemen,3.2
Zambia,7.1
Zimbabwe,8.4
